sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,label
0.0547,0.002,0.3441,0.002,0.0068,1
0.0127,0.001,0.2776,0.001,0.0068,1
0.0127,0.001,0.2375,0.002,0.0068,1
0.0,0.002,0.1496,0.002,0.0068,1
0.0137,0.002,0.0,0.002,0.0068,1
0.0039,0.002,0.0,0.002,0.0068,1
0.0078,0.002,0.0,0.002,0.0059,1
0.0166,0.002,0.0225,0.002,0.0068,1
0.0577,0.0,0.0596,0.002,0.0068,1
0.0156,0.001,0.0841,0.0029,0.0078,1
0.0088,0.0,0.1095,0.0029,0.0088,1
0.0147,0.001,0.1672,0.0029,0.0088,1
0.0215,0.001,0.304,0.0029,0.0088,1
0.0156,0.001,0.35,0.002,0.0088,1
0.0156,0.002,0.35,0.0029,0.0098,1
0.0137,0.001,0.3412,0.0029,0.0098,1
0.0137,0.001,0.3196,0.0029,0.0088,1
0.0156,0.001,0.2825,0.0029,0.0098,1
0.0166,0.002,0.2532,0.0029,0.0098,1
0.0156,0.002,0.2258,0.0029,0.0098,1
0.0156,0.002,0.1476,0.0029,0.0078,1
0.0,0.002,0.0,0.0039,0.0078,1
0.0176,0.0029,0.0,0.0059,0.0078,1
0.0186,0.002,0.0,0.0068,0.0098,1
0.0117,0.001,0.0108,0.0059,0.0108,1
0.0196,0.001,0.0596,0.0068,0.0088,1
0.0127,0.001,0.1007,0.0088,0.0098,1
0.0166,0.0029,0.1828,0.0078,0.0117,1
0.0098,0.002,0.3509,0.0068,0.0117,1
0.0098,0.0029,0.3509,0.0068,0.0108,1
0.0078,0.0029,0.3245,0.0068,0.0108,1
0.0029,0.0029,0.2473,0.0078,0.0117,1
0.0,0.0029,0.1124,0.0059,0.0117,1
0.0,0.0029,0.0,0.0068,0.0117,1
0.0,0.002,0.0,0.0068,0.0117,1
0.0264,0.0029,0.0244,0.0088,0.0117,1
0.043,0.0029,0.0811,0.0078,0.0098,1
0.0088,0.0029,0.1251,0.0078,0.0108,1
0.0176,0.0029,0.3578,0.0078,0.0127,1
0.0225,0.002,0.3509,0.0078,0.0127,1
0.0098,0.002,0.3284,0.0078,0.0127,1
0.0088,0.002,0.261,0.0078,0.0127,1
0.0156,0.002,0.2102,0.0088,0.0117,1
0.0156,0.002,0.0,0.0078,0.0127,1
0.0156,0.002,0.0,0.0068,0.0127,1
0.0166,0.001,0.0156,0.0078,0.0127,1
0.0127,0.0,0.0772,0.0049,0.0078,1
0.0137,0.0,0.1271,0.0088,0.0098,1
0.0147,0.0,0.348,0.0098,0.0098,1
0.0147,0.0,0.3294,0.0108,0.0117,1
0.0205,0.0029,0.0156,0.0059,0.0078,1
0.0215,0.002,0.0147,0.0049,0.0078,1
0.0196,0.002,0.0137,0.0039,0.0078,1
0.0205,0.002,0.0127,0.0039,0.0078,1
0.0196,0.002,0.0117,0.0049,0.0088,1
0.0196,0.002,0.0098,0.0039,0.0078,1
0.0196,0.001,0.0088,0.0039,0.0078,1
0.0196,0.001,0.0088,0.0059,0.0088,1
0.0215,0.002,0.0059,0.0078,0.0108,1
0.0225,0.002,0.0059,0.0078,0.0108,1
0.0225,0.001,0.0059,0.0078,0.0108,1
0.0215,0.001,0.0059,0.0078,0.0108,1
0.0205,0.001,0.0059,0.0068,0.0098,1
0.0196,0.001,0.0059,0.0078,0.0088,1
0.0186,0.001,0.0049,0.0078,0.0098,1
0.0186,0.001,0.0059,0.0049,0.0098,1
0.0196,0.001,0.0059,0.0059,0.0088,1
0.0205,0.001,0.0049,0.0059,0.0108,1
0.0205,0.001,0.0049,0.0068,0.0117,1
0.0205,0.0,0.0049,0.0068,0.0117,1
0.0205,0.0,0.0049,0.0068,0.0108,1
0.0196,0.001,0.0059,0.0059,0.0108,1
0.0186,0.0,0.0059,0.0049,0.0098,1
0.0186,0.0,0.0059,0.0049,0.0098,1
0.0176,0.0,0.0049,0.0049,0.0098,1
0.0176,0.001,0.0049,0.0049,0.0098,1
0.0176,0.0,0.0049,0.0049,0.0098,1
0.0186,0.001,0.0059,0.0039,0.0098,1
0.0186,0.001,0.0068,0.0039,0.0088,1
0.0186,0.001,0.0078,0.0039,0.0098,1
0.0186,0.001,0.0078,0.0039,0.0088,1
0.0186,0.001,0.0068,0.0049,0.0098,1
0.0176,0.0,0.0078,0.0049,0.0098,1
0.0186,0.001,0.0078,0.0039,0.0088,1
0.0186,0.001,0.0088,0.0039,0.0088,1
0.0186,0.001,0.0117,0.0049,0.0098,1
0.0176,0.001,0.0117,0.0039,0.0078,1
0.0186,0.001,0.0127,0.0049,0.0078,1
0.0186,0.001,0.0108,0.0039,0.0078,1
0.0176,0.0,0.0117,0.0059,0.0078,1
0.0176,0.001,0.0137,0.0039,0.0078,1
0.0176,0.001,0.0137,0.0039,0.0078,1
0.0176,0.001,0.0137,0.0049,0.0078,1
0.0186,0.0,0.0137,0.0039,0.0078,1
0.0186,0.001,0.0147,0.0039,0.0078,1
0.0186,0.001,0.0127,0.0039,0.0078,1
0.0176,0.0,0.0127,0.0039,0.0078,1
0.0176,0.001,0.0137,0.0039,0.0068,1
0.0186,0.001,0.0127,0.0059,0.0068,1
0.0186,0.001,0.0127,0.0049,0.0068,1
0.0,0.001,0.0,0.0108,0.0029,2
0.0,0.001,0.001,0.0137,0.0029,2
0.0244,0.001,0.001,0.0205,0.0078,2
0.0244,0.001,0.001,0.0186,0.0059,2
0.2747,0.001,0.001,0.0186,0.0039,2
0.3646,0.001,0.001,0.0225,0.0039,2
0.3304,0.0,0.001,0.0166,0.0049,2
0.2649,0.0,0.001,0.0166,0.0039,2
0.0,0.0,0.001,0.0196,0.0059,2
0.0577,0.001,0.001,0.0147,0.0049,2
0.0684,0.001,0.001,0.0137,0.0088,2
0.0,0.001,0.001,0.0147,0.0098,2
0.0,0.001,0.001,0.0127,0.0117,2
0.0029,0.001,0.001,0.0137,0.0117,2
0.0499,0.001,0.0,0.0098,0.0117,2
0.0811,0.001,0.001,0.0068,0.0117,2
0.0782,0.001,0.001,0.0078,0.0108,2
0.1329,0.001,0.001,0.0078,0.0068,2
0.0938,0.001,0.001,0.0059,0.0039,2
0.087,0.001,0.001,0.0029,0.0049,2
0.0196,0.0,0.001,0.0039,0.0059,2
0.0,0.0,0.001,0.0059,0.0068,2
0.0362,0.0,0.0,0.0059,0.0068,2
0.0,0.001,0.001,0.0049,0.0078,2
0.0,0.0,0.0,0.0068,0.0088,2
0.0108,0.001,0.001,0.0059,0.0068,2
0.0635,0.001,0.0,0.0059,0.0078,2
0.0538,0.001,0.0,0.0049,0.0088,2
0.0313,0.0,0.001,0.0049,0.0078,2
0.0811,0.0,0.001,0.0098,0.0098,2
0.002,0.001,0.001,0.0059,0.0078,2
0.0,0.0,0.001,0.0068,0.0098,2
0.0,0.001,0.0,0.0068,0.0088,2
0.0,0.0,0.001,0.0078,0.0088,2
0.0,0.001,0.001,0.0078,0.0078,2
0.0,0.001,0.0,0.0078,0.0068,2
0.0,0.001,0.001,0.0078,0.0098,2
0.0127,0.001,0.0,0.0059,0.0068,2
0.0323,0.0,0.001,0.0059,0.0088,2
0.0645,0.0,0.001,0.0059,0.0088,2
0.086,0.0,0.001,0.0059,0.0088,2
0.0909,0.0,0.001,0.0059,0.0098,2
0.0909,0.0,0.001,0.0059,0.0088,2
0.1486,0.001,0.0,0.0068,0.0078,2
