sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,label
0.0078,0,0.0088,0.0068,0.0068,1
0.0068,0,0.0078,0.0039,0.0049,1
0.0068,0,0.0078,0.0049,0.0049,1
0.0098,0,0.0088,0.0059,0.0108,1
0.0068,0,0.0088,0.0049,0.0049,1
0.0088,0,0.0088,0.0059,0.0059,1
0.0059,0,0.0059,0.0039,0.0039,1
0.0068,0,0.0068,0.0059,0.0049,1
0.0078,0,0.0088,0.0068,0.0059,1
0.0068,0,0.0078,0.0049,0.0049,1
0.0078,0,0.0088,0.0049,0.0049,1
0.0078,0,0.0088,0.0078,0.0068,1
0.0088,0,0.0098,0.0059,0.0078,1
0.0068,0,0.0088,0.0068,0.0059,1
0.0068,0,0.0088,0.0059,0.0039,1
0.0078,0,0.0088,0.0049,0.0078,1
0.0078,0,0.0088,0.0059,0.0068,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0068,0,0.0098,0.0059,0.0049,1
0.0068,0,0.0088,0.0039,0.0049,1
0.0078,0,0.0088,0.0068,0.0068,1
0.0068,0,0.0098,0.0059,0.0049,1
0.0078,0,0.0088,0.0068,0.0068,1
0.0088,0,0.0098,0.0039,0.0049,1
0.0068,0,0.0068,0.0049,0.0049,1
0.0078,0,0.0088,0.0059,0.0068,1
0.0059,0,0.0078,0.0039,0.0039,1
0.0049,0,0.0108,0.0039,0.0049,1
0.0068,0,0.0068,0.0039,0.0049,1
0.0068,0,0.0088,0.0059,0.0039,1
0.0078,0,0.0078,0.0059,0.0059,1
0.0059,0,0.0088,0.0059,0.0059,1
0.0078,0,0.0108,0.0049,0.0049,1
0.0068,0,0.0088,0.0068,0.0068,1
0.0078,0,0.0088,0.0049,0.0049,1
0.0098,0,0.0088,0.0059,0.0108,1
0.0078,0,0.0078,0.0059,0.0049,1
0.0059,0,0.0059,0.0039,0.0039,1
0.0068,0,0.0098,0.0059,0.0059,1
0.0068,0,0.0078,0.0059,0.0049,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0049,0,0.0088,0.0039,0.0049,1
0.0078,0,0.0098,0.0039,0.0049,1
0.0049,0,0.0098,0.0039,0.0049,1
0.0078,0,0.0078,0.0059,0.0049,1
0.0068,0,0.0078,0.0068,0.0049,1
0.0078,0,0.0088,0.0068,0.0068,1
0.0098,0,0.0078,0.0059,0.0108,1
0.0068,0,0.0088,0.0068,0.0068,1
0.0049,0,0.0098,0.0039,0.0049,1
0.0049,0,0.0098,0.0039,0.0049,1
0.0068,0,0.0078,0.0068,0.0049,1
0.0068,0,0.0088,0.0068,0.0068,1
0.0049,0,0.0098,0.0039,0.0049,1
0.0078,0,0.0088,0.0068,0.0059,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0068,0,0.0088,0.0049,0.0049,1
0.0068,0,0.0098,0.0059,0.0049,1
0.0098,0,0.0088,0.0059,0.0108,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0088,0,0.0068,0.0068,0.0088,1
0.0068,0,0.0098,0.0059,0.0049,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0068,0,0.0088,0.0039,0.0049,1
0.0078,0,0.0068,0.0039,0.0078,1
0.0068,0,0.0088,0.0039,0.0049,1
0.0068,0,0.0098,0.0059,0.0049,1
0.0078,0,0.0088,0.0068,0.0059,1
0.0098,0,0.0078,0.0068,0.0098,1
0.0156,0,0.0088,0.0059,0.0068,1
0.0098,0,0.0078,0.0059,0.0088,1
0.0068,0,0.0088,0.0059,0.0039,1
0.0059,0,0.0088,0.0059,0.0059,1
0.0166,0,0.0088,0.0059,0.0059,1
0.0059,0,0.0059,0.0039,0.0039,1
0.0078,0,0.0108,0.0049,0.0049,1
0.0068,0,0.0098,0.0059,0.0049,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0068,0,0.0068,0.0039,0.0049,1
0.0068,0,0.0088,0.0068,0.0068,1
0.0068,0,0.0088,0.0059,0.0049,1
0.0068,0,0.0088,0.0068,0.0068,1
0.0068,0,0.0088,0.0068,0.0068,1
0.0068,0,0.0088,0.0039,0.0049,1
0.0049,0,0.0108,0.0039,0.0049,1
0.0068,0,0.0088,0.0039,0.0049,1
0.0068,0,0.0088,0.0068,0.0059,1
0.0078,0,0.0088,0.0039,0.0049,1
0.0078,0,0.0078,0.0039,0.0078,1
0.0059,0,0.0068,0.0039,0.0068,1
0.0049,0,0.0088,0.0039,0.0049,1
0.0059,0,0.0078,0.0039,0.0039,1
0.0059,0,0.0068,0.0039,0.0068,1
0.0068,0,0.0078,0.0059,0.0039,1
0.0049,0,0.0088,0.0039,0.0049,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0068,0,0.0088,0.0059,0.0059,1
0.0166,0,0,0.0039,0.0049,2
0.0176,0,0,0.0039,0.0049,2
0.0176,0,0,0.0039,0.0049,2
0.0176,0,0,0.0059,0.0059,2
0.0156,0,0,0.0059,0.0059,2
0.0147,0,0,0.0039,0.0059,2
0.0147,0,0,0.0039,0.0059,2
0.0176,0,0,0.0039,0.0039,2
0.0137,0,0,0.0039,0.0059,2
0.0147,0,0,0.0039,0.0059,2
0.0137,0,0,0.0049,0.0059,2
0.0137,0,0,0.0049,0.0059,2
0.0156,0,0,0.0039,0.0059,2
0.0166,0,0,0.0039,0.0059,2
0.0137,0,0,0.0039,0.0059,2
0.0137,0,0,0.0049,0.0049,2
0.0137,0,0,0.0049,0.0039,2
0.0156,0,0,0.0068,0.0059,2
0.0078,0,0,0.0049,0,2
0.0156,0,0,0.0049,0.0049,2
0.0147,0,0,0.0049,0.0059,2
0.0156,0,0,0.0039,0.0059,2
0.0156,0,0,0.0039,0.0039,2
0.0166,0,0,0.0059,0.0068,2
0.0156,0,0,0.0059,0.0059,2
0.0147,0,0,0.0049,0.0059,2
0.0166,0,0,0.0039,0.0049,2
0.0137,0,0,0.0049,0.0059,2
0.0147,0,0,0.0039,0.0059,2
0.0176,0,0,0.0049,0.0049,2
0.0137,0,0,0.0039,0.0059,2
0.0078,0,0,0.0049,0,2
0.0166,0,0,0.0059,0.0068,2
0.0166,0,0,0.0039,0.0049,2
0.0137,0,0,0.0049,0.0059,2
0.0127,0,0,0.0039,0.0059,2
0.0117,0,0,0.0039,0.0039,2
0.0156,0,0,0.0068,0.0059,2
0.0137,0,0,0.0039,0.0059,2
0.0147,0,0,0.0049,0.0049,2
0.0137,0,0,0.0039,0.0059,2
0.0137,0,0,0.0039,0.0049,2
0.0176,0,0,0.0039,0.0049,2
0.0166,0,0,0.0039,0.0059,2
0.0147,0,0,0.0049,0.0049,2
0.0137,0,0,0.0059,0.0049,2
0.0127,0,0,0.0039,0.0039,2
0.0166,0,0,0.0039,0.0049,2
0.0186,0,0,0.0059,0.0059,2
0.0108,0,0,0.0039,0,2
0.0127,0,0,0.0049,0,2
0.0108,0,0,0.0039,0,2
0.0176,0,0,0.0039,0.0039,2
0.0137,0,0,0.0039,0.0059,2
0.0166,0,0,0.0059,0.0049,2
0.0078,0,0,0.0049,0,2
0.0176,0,0,0.0049,0.0049,2
0.0147,0,0,0.0039,0.0049,2
0.0166,0,0,0.0039,0.0049,2
0.0176,0,0,0.0059,0.0059,2
0.0166,0,0,0.0039,0.0049,2
0.0156,0,0,0.0049,0.0059,2
0.0156,0,0,0.0049,0.0049,2
0.0137,0,0,0.0049,0,2
0.0166,0,0,0.0039,0.0059,2
0.0156,0,0,0.0039,0.0039,2
0.0137,0,0,0.0049,0.0059,2
0.0127,0,0,0.0039,0.0059,2
0.0156,0,0,0.0039,0.0059,2
0.0156,0,0,0.0039,0.0039,2
0.0147,0,0,0.0039,0.0059,2
0.0166,0,0,0.0039,0.0049,2
0.0137,0,0,0.0039,0.0059,2
0.0156,0,0,0.0049,0.0059,2
0.0156,0,0,0,0.0049,2
0.0147,0,0,0.0049,0.0049,2
0.0156,0,0,0.0039,0.0059,2
0.0176,0,0,0.0039,0.0049,2
0.0117,0,0,0.0039,0.0039,2
0.0117,0,0,0.0039,0.0039,2
0.0137,0,0,0.0039,0.0059,2
0.0156,0,0,0.0068,0.0059,2
0.0176,0,0,0.0059,0.0059,2
0.0147,0,0,0.0059,0.0059,2
0.0156,0,0,0.0039,0.0049,2
0.0127,0,0,0.0059,0.0039,2
0.0156,0,0,0.0059,0.0059,2
0.0156,0,0,0.0049,0.0049,2
0.0186,0,0,0.0059,0.0059,2
0.0147,0,0,0.0039,0.0049,2
0.0156,0,0,0,0.0049,2
0.0137,0,0,0.0049,0.0059,2
0.0147,0,0,0.0039,0.0059,2
0.0078,0,0,0.0049,0,2
0.0176,0,0,0.0049,0.0049,2
0.0137,0,0,0.0039,0.0059,2
0.0147,0,0,0.0039,0.0039,2
0.0166,0,0,0.0039,0.0049,2
0.0156,0,0,0.0059,0.0059,2
0.0147,0,0,0.0049,0.0059,2
0.0078,0,0,0,0.0049,3
0.0049,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0049,0.0039,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0059,0,0,0,0.0039,3
0.0088,0,0,0,0.0039,3
0.0068,0,0,0,0.0059,3
0.0068,0,0,0,0.0059,3
0.0068,0,0,0,0.0049,3
0.0088,0,0,0.0039,0.0039,3
0.0049,0.0039,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0078,0,0,0,0.0039,3
0.0059,0,0,0,0,3
0.0068,0,0,0,0.0049,3
0.0049,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0039,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0059,0,0,0,0,3
0.0068,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0049,3
0.0059,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0059,3
0.0049,0,0,0,0.0039,3
0.0068,0,0,0,0,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0049,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0059,0,0,0,0.0049,3
0.0068,0,0,0,0.0059,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0059,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0039,0,0,0,0.0039,3
0.0078,0,0,0,0,3
0.0059,0,0,0,0.0039,3
0.0078,0,0,0,0,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0059,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0059,3
0.0059,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0059,0,0,0,0,3
0.0078,0,0,0,0,3
0.0059,0,0,0,0.0049,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0059,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0059,0,0,0,0,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0078,0,0,0,0.0049,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0049,3
0.0078,0,0,0.0039,0.0039,3
0.0068,0,0,0,0.0049,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0039,3
0.0068,0,0,0,0.0059,3
0.0059,0,0,0,0.0039,3
0.0068,0,0,0,0,4
0.0049,0,0,0,0,4
0.0068,0,0,0,0,4
0.0049,0,0,0,0,4
0.0049,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0078,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0078,0,0,0,0,4
0.0049,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0049,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0078,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0078,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0049,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0078,0,0,0,0,4
0.0049,0,0,0,0,4
0.0049,0,0,0,0,4
0.0049,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0078,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0049,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0049,0,0,0,0,4
0.0068,0,0,0,0,4
0.0068,0,0,0,0,4
0.0049,0,0,0,0,4
0.0049,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0059,0,0,0,0,4
